codvuz;rnw;f1;z2;f6;f10;f2;f7;f18
1;11;П;;Хомутов О.И.;27.35.43,20.23.25;Экологическое моделирование и создание информационно-графических систем поддержки принятия экологических решений.;к.ф.-м.н., проф.;687360
1;18;Ф;;Пятковский О.И..;"34.31.15;34.31.37";Субклеточные и молекулярные механизмы фенотипической устойчивости растений.;проф., д.б.н.;960000
1;19;Ф;;Старостенков М.Д.;02.15.51;Проблема взаимосвязи русской и западноевропейской философских традиций в XX веке.;д.ф.н., проф.;633180
1;22;П;;Меренцова.Г.С.;67.17.31;Исследование аэродинамических параметров противоточных струйных мельниц замкнутого цикла, с целью оптимизации конструктивных элементов транспортировки и сепарации продуктов измельчения.;д.т.н., проф.;720000
1;31;Ф;;Замятин В.И.;03.61.91;Хозяйство древних финно-угров Поволжья;д.и.н.,профессор;853920
1;34;Ф;;Жмудяк Л.М.;31.21.27;Методы синтеза линейных и конденсированных гетероциклических систем;д.х.н.,профессор;1320000
2;1;Ф;;Миронов В.Л.;28.17.31,28.23.15;Исследование геометрических вопросов проблемы искусственного интеллекта.;доц., к.т.н.;780000
2;2;Ф;;Кайгородова Н.З.;03.09.2023;История Волго-Уральского региона в эпоху раннего железного века;з.к. проф. дин;843000
3;1;П;;Кривдин Л.Б.;67.09.31;Гипсовые и магнезиальные вяжущие и материалы повышенной прочности и водостойкости;дтн,профессор;1048980
4;54;П;;Сабуров Э.Н.;31.25.15;Технология контролируемого выделения химически и биологически активных веществ.;заф.каф.,проф.;693600
4;55;Ф;;Сабуров Э.Н.;55.19.05;Исследование неустойчивости процессов контактных упругопластических деформаций и стружкообразования при резании металлов;к.т.н.;605880
6;1;П;;Смирнов В.В.;52.13.19;Повышение эффективности отработки запасов руд за контурами карьеров на основе гидромеханизации производственных процессов.;д.т.н., проф.;1200000
6;2;Ф;;Сизов А.М.;31.15.15;Экспериментальные и теоретические исследования структуры,ядерной динамики и энергетики молекул,радикалов и ионов неорганических соединений.;проф.,д.х.н.;720000
6;3;Ф;;Мозелов А.П.;29.19.04;Капилярное формирование нитевидных кристаллов;дфмн, профессор;786000
6;4;Ф;;Кузьмин И.С.;03.09.1955;Социальные аспекты исторического опыта экономических реформ России;дэн, профессор;660000
6;5;Ф;;Шаров С.Н.;59.14.29,27.37.17;Разpаботка методов и алгоpитмов упpавления эволюцией множества состояний сложных технических систем с пpиложением к задаче пеpехвата опасных космических об`ектов;д.т.н.,пpоф.;660000
6;6;Ф;;Ржевкин В.А.;61.13.21;Моделирование и оптимизация гибких многопродуктивных реактивных систем непрерывного типа.;проф.,к.т.н.;677160
6;7;Ф;;Мишин А.М.;"38.49.17;38.19.19";Глубинные рудоконтролирующие структуры рудных систем в Восточной Сибири и тектонический режим их формирования.;з/каф,проф,дг-м.н;954240
6;8;Ф;;Кефели И.Ф.;29.19.11;Электрические свойства полупроводников с объемнораспределенными включениями второй фазы;в.н.с.,дфмн;605400
6;9;Ф;;Верхолат А.М.;61.13.21;Изучение связи механизма pеакции окисления углеводоpодов и дp.субстpатов с селективностью в пpоцессе;пpоф.,д.х.н.;840000
6;10;Ф;;Белов А.В.;55.47.03;Физическое и теоpетическое моделиpование взаимодействия несущих повеpхностей, их систем и тел со стpуями с экpаниpующей повеpхностью;к.т.н.,доц.;900000
6;11;Ф;;Водопьянов М.Я.;38.17.15;Расчленение и корреляция метаморфических толщ с использованием типоморфных особенностей акцессорного циркона.;к.г.-м.н., доцент;780000
6;12;Ф;;Андреев А.Г.;53.37.31,53.37.35;Разработка теоретических основ и ресурсосберегающих экологически безопасных осадительно-дистилляционных процессов извлечения цветных металлов из аммиачно-карбонатных растворов;д.т.н., профессор;1200000
6;14;Ф;;Туманов Ю.А.;29.19.33;Физические свойства неполностью упорядоченных диэлектриков;дфмн, профессор;1248600
6;15;П;;Борейшо А.С.;50.43.15;Разработка методик и аппаратуры для технической диагностики станочных автоматизированных систем.;д.т.н., профессор;1050000
6;16;Ф;;Сиротко В.А.;47.09.37;Исследование закономерностей формирования морфологии и субструктуры металлокерамических композиций с высокой удельной поверхностью проводящей фазы;доцент,к.Ф.-м.н.;870000
6;18;Ф;;Григорьев В.В.;50.43.15;Моделирование динамики синтеза полимеров в условиях вынужденных колебаний технологических параметров;дтн,профессор;900000
8;1;П;;Чихладзе Э.Д.;59.31.31;Теоретическое и экспериментальное исследование диффузионных электрохимических датчиков механических величин;к.х.н.,с.н.с.;804000
8;2;П;;Ивахнюк В.А.;66.15.17,68.47.85;Разработка эколого-сберегающих технологий лесосечных и лесохозяйственных работ, экологических требований к лесным машинам для предприятий лесного комплекса в лесостепной зоне России.;д.т.н.,пpоф.;924000
8;4;Ф;;Гончаров Ю.И.;76.29.61,77.13.25;Совершенствование методики физического воспитания студентов вузов на основе комплексного применения специальных тренажеров;к.п.н. доцент;804000
8;5;Ф;;Павленко В.И.;30.19.29;Исследование газоабразивной эрозии;к.т.н.доцент;1218000
8;6;П;;Константинов И.С.;15.41.35;Социально-политические процессы в вузах России;проф.,д.ф.н.;636000
8;7;Р;;Лесовик В.С.;44.41.31;Разработка автономного импульсного излучателя света большой мощности на основе МГД генератора с Т-слоем, работающем на продуктах детонации взрывчатых веществ;к.ф.-м.н., доцент;660000
8;8;П;;Дончак И.Д.;50.41.25;Методическое, информационное и программное обеспечение автоматизированных рабочих мест учебного назначения для обучения сетевым информационным технологиям.;к.т.н., с.н.с.;1380000
8;11;П;;Богданов В.С.;55.43.03;Параметрическая оптимизация перспективного легкового и малотонажного автомобиля по критериям управляемости и устойчивости.;проф., к.т.н.;1260000
8;12;П;;Рудычев А.А.;55.03.14;Исследование динамики оборудования подвижных объектов.;д.т.н.,проф.;720000
8;13;П;;Классен В.К.;"70.94.15;73.01.75";Проектирование и обеспечение эксплуатационной надежности морехозяйственных комплексов и их элементов.;д.т.н., проф.;930000
8;15;Ф;;Беседин П.В.;47.63.31;Светоизлучающие структуры на основе широкозонных полупроводников для полноцветных устройств отображения информации;зав.лаб.к.ф.-м.н.;720720
8;17;П;;Колчунов В.И.;53.07.05.;Исследование эффективности применения компактных высокотемпературных регенеративных теплообменников на нагревательных печах металлургического производства;к.т.н.доцент;1176000
8;18;Ф;;Рахимбаев Ш.М.;29.19.03;   Исследование структурно-энергетических превращений в конденсированных средах.Теория дефектов в многокомпанентных сверхструктурах сверхрешетках.;профессор.д.ф-м.н;804000
8;19;Ф;;Минько Н.И.;50.07.05;Разработка и исследование характеристик процессорных элементов систем обработки символьной информации;доц., к. т. н.;990000
8;21;П;;Уваров В.А.;34.33.27,34.35.17;Разработка методов для оперативного слежения за пространственно-временными перемещениями наземных позвоночных, изучение их территориальных связей в условиях Средней Сибири;к.б.н., доцент;1290000
8;22;Ф;;Коломацкий А.С.;31.25.15;Жидко-кристаллические волокнообразующие полимеры: физико-химия переработки в композиционные материалы.;проф.,д.х.н.;840000
8;23;П;;Минко В.А.;55.37.33;   Повышение КПД и мощности массовых бензиновых ДВС путем оригинального обеспечения отсутствия детонации.;доцент д.т.н.;705480
8;25;Ф;;Пелипенко Н.А.;53.07.05.;Исследование и разработка научных основ конструирования компактных высокотемпературных отапливаемых только доменным газом воздухонагревательных установок доменных печей;д.т.н.профессор;1048980
10;2;П;;Угрюмов Б.И.;52.01.85;Совершенствование тиристорного электропривода горных машин.;зав.каф.,доц.,ктн;762000
10;3;П;;Денисов С.В.;45.41.31;Разpаботка элементов теоpии нелинейных вентильно-электpомеханических систем и их пpактических пpиложений в области упpавления технологическим обоpудованием;к.т.н.,доцент;900000
12;1;П;;Сенющенков М.А.;55.59.29;Разработка методики проектирования и конструкций механизмов раскладки с рассеивающими устройствами.;д.т.н., проф.;1352880
12;4;Ф;;Кишенков Ф.В.;68.47.15,68.47.31;Изучение реакции лесных экосистем при изменении гидрологического режима в системе экологического мониторинга.;д.с-х.н., проф.;1398000
12;5;П;;Симонов А.С.;65.63.91,65.63.35;Разработка технологического процесса производства белково-минерально-витаминной добавки для обогащения лечебно-профилактических продуктов для детей,проживающих в экологически неблагоприятных регионах;доцент,к.т.н.;840000
12;7;Р;;Тихонов А.С.;12.41.31;Экспертиза НИР, заявленных для включения в тематический план академии.;доцент,ктн;825000
12;8;Ф;;Памфилов Е.А.;30.19.15;Разработка единых определяющих уравнений состояния идеально-упругого тела при конечных деформациях.;д.т.н., проф.;726000
14;48;Ф;;Скрипкин А.С.;52.01.75,52.01.85;Научное обоснование и разработка теории и методов геоконтроля и геомониторинга на основе принципов акустической спектроскопии и эффектов нелинейной акустики.;д.т.н.,проф.;900000
14;50;Ф;;Аникеев Б.В.;27.41.15;Разработка математического обеспечения решения задач многокритериальной оптимизации элементов машиностроительных конструкций;д.ф.-м.н., проф.;858000
16;1;П;;Духнич Е.И.;"87.19.15;87.19.81";Создать и освоить прогрессивные системы рационального использования воды для питьевых и технических целей и предотвращения загрязнения водоёмов.;ректор,чл-кор.РАН;900000
16;2;Р;;Брызгалин Г.И.;55.59.29;Создание кольцевой ровничной машины для получения льняной ровницы.;доц., к.т.н.;900000
16;3;Ф;;Бабушкин М.Н.;50.43.17;Разработка теоретических основ и методики создания интегрированных АСУ в производстве строительных материалов и конструкций.;к.т.н., доц.;831540
16;5;П;;Муха Ю.П.;66.35.33;Исследование технологических режимов получения клееных древесных материалов на основе применения фурановых смол.;проф., д.т.н.;720000
16;6;Ф;;Мохов А.И.;28.17.19,50.51.15;Теоpметические методы описания массоотеплопеpеноса в двухфазных многокомпонентных системах,оптимальное пpоектиpование и pеконстpукция аппаpатов pазделения в пpомышленной химии;пpоф.,д.т.н.;696000
16;8;П;;Рахимов А.И.;64.01.84 64.01.94;Комплексное использование вторичных энергоресурсов (ВЭР) с применением тепловых насосов и утилизаторов тепла.;к.т.н., доц.;983460
16;12;Ф;;Новаков И.А.;61.59.29,61.61.09;Регулиpование стpуктуpной оpганизации полимеpов акpилового и олефинового pядов и их композиции;пpоф.,д.т.н.;1080000
16;14;Ф;;Козлов А.А.;38.21.17;Региональные геологические системы юга Сибири и сопредельных территорий Центральной Азии.;з/каф.,проф., дтн;1320000
