codvuz;z1;z1full;z2;region;city;status;obl;oblname;gr_ved;prof
1;Алтайский государственный технический университет имени И.И. Ползунова;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Алтайский государственный технический университет им. И.И. Ползунова""";АлтГТУ;Сибирский;Барнаул;Университет;56;Алтайский край;;ИТ
2;Алтайский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Алтайский государственный университет""";АлтГУ;Сибирский;Барнаул;Университет;56;Алтайский край;ПСР;КЛ
3;Ангарская государственная техническая академия;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Ангарская государственная техническая академия""";АнгарГТА;Сибирский;Ангарск;Академия;62;Иркутская область;;ИТ
4;Северный (Арктический) федеральный университет имени М.В. Ломоносова;"Федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Северный (Арктический) федеральный университет имени М.В. Ломоносова""";Сев(Аркт)ФУ;Северо-Западный;Архангельск;Университет;5;Архангельская область;ФУ;МП
6;"Балтийский государственный технический университет ""ВОЕНМЕХ"" им. Д.Ф. Устинова";"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Балтийский государственный технический университет ""ВОЕНМЕХ"" им. Д.Ф. Устинова""";БалтГТУ;Северо-Западный;Санкт-Петербург;Университет;3;Санкт-Петербург;;ИТ
7;Башкирский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Башкирский государственный университет""";БашГУ;Приволжский;Уфа;Университет;65;Республика Башкортостан;ПСР;КЛ
8;Белгородский государственный технологический университет им. В.Г. Шухова;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Белгородский государственный технологический университет им. В.Г. Шухова""";БелГТхнУ;Центральный;Белгород;Университет;73;Белгородская область;ПСР;ИТ
9;Амурский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Амурский государственный университет""";АмурГУ;Дальневосточный;Благовещенск;Университет;68;Амурская область;;КЛ
10;Братский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Братский государственный университет""";БратГУ;Сибирский;Братск;Университет;62;Иркутская область;;КЛ
11;Брянский государственный технический университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Брянский государственный технический университет""";БрянГТУ;Центральный;Брянск;Университет;10;Брянская область;;ИТ
12;Брянская государственная инженерно-технологическая академия;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Брянская государственная инженерно-технологическая академия""";БрянГИТА;Центральный;Брянск;Академия;10;Брянская область;;ИТ
13;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых""";ВладГУ;Центральный;Владимир;Университет;11;Владимирская область;;КЛ
14;Волгоградский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Волгоградский государственный университет""";ВолгГУ;Южный;Волгоград;Университет;34;Волгоградская область;;КЛ
15;Волгоградский государственный архитектурно-строительный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Волгоградский государственный архитектурно-строительный университет""";ВолгГАСУ;Южный;Волгоград;Университет;34;Волгоградская область;;ИТ
16;Волгоградский государственный технический университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Волгоградский государственный технический университет""";ВолгГТУ;Южный;Волгоград;Университет;34;Волгоградская область;ПСР;ИТ
17;Вологодский государственный технический университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Вологодский государственный технический университет""";ВологГТУ;Северо-Западный;Вологда;Университет;7;Вологодская область;;ИТ
18;Воронежский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Воронежский государственный университет""";ВорГУ;Центральный;Воронеж;Университет;29;Воронежская область;ПСР;КЛ
19;Воронежский государственный архитектурно-строительный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Воронежский государственный архитектурно-строительный университет""";ВорГАСУ;Центральный;Воронеж;Университет;29;Воронежская область;;ИТ
20;Воронежская государственная лесотехническая академия;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Воронежская государственная лесотехническая академия""";ВорГЛТА;Центральный;Воронеж;Академия;29;Воронежская область;;ИТ
21;Воронежский государственный технический университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Воронежский государственный технический университет""";ВорГТУ;Центральный;Воронеж;Университет;29;Воронежская область;;ИТ
22;Воронежский государственный университет инженерных технологий;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Воронежский государственный университет инженерных технологий""";ВорГУИТ;Центральный;Воронеж;Университет;29;Воронежская область;;ИТ
23;Восточно-Сибирский государственный университет технологий и управления;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Восточно-Сибирский государственный университет технологий и управления""";ВСГУТиУ;Сибирский;Улан-Удэ;Университет;64;Республика Бурятия;;ИТ
26;Московский государственный университет технологий и управления имени К.Г.Разумовского;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Московский государственный университет технологий и управления имени К.Г. Разумовского""";МГУТиУ;Центральный;Москва;Университет;16;Москва;;ИТ
28;Российский государственный университет нефти и газа имени И.М. Губкина;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Российский государственный университет нефти и газа имени И. М. Губкина""";РГУНГ;Центральный;Москва;Университет;16;Москва;НИУ;ИТ
29;Государственный университет управления;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Государственный университет управления""";ГУУ;Центральный;Москва;Университет;16;Москва;;ГП
33;Дагестанский государственный университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Дагестанский государственный университет""";ДагГУ;Северо-Кавказский;Махачкала;Университет;45;Республика Дагестан;ПСР;КЛ
34;Дагестанский государственный технический университет;"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Дагестанский государственный технический университет""";ДагГТУ;Северо-Кавказский;Махачкала;Университет;45;Республика Дагестан;;ИТ
